Id,Name,Price,image,Quantity,CategoryId,isNew,isSale
127,iPhone 12 mini 64GB I Ch�nh h�ng VN/A,12990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-12-mini_1.png,66,1,TRUE,FALSE
128,iPhone 12 128GB | Ch�nh h�ng VN/A,9990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-12-128gb_2.png,65,1,TRUE,FALSE
129,iPhone 14 Pro Max 1TB | Ch�nh h�ng VN/A,41790000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-14-pro-256gb_2.png,54,1,TRUE,FALSE
130,iPhone 12 Pro Max 256GB I Ch�nh h�ng VN/A,27590000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/2/_/2_240_2.jpg,62,1,TRUE,FALSE
131,iPhone 13 Pro 128GB | Ch�nh h�ng VN/A,21990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-13-pro.png,74,1,TRUE,FALSE
132,iPhone 12 Pro 128GB I Ch�nh h�ng VN/A,24990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone_12_pro.jpg,39,1,TRUE,FALSE
133,iPhone 13 Pro 256GB | Ch�nh h�ng VN/A,24490000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/3/_/3_51_1_4.jpg,75,1,TRUE,FALSE
134,iPhone 16 Plus 512GB | Ch�nh h�ng VN/A,29990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-plus-1_2.png,21,1,TRUE,FALSE
135,iPhone 16 Pro 1TB | Ch�nh h�ng VN/A,39990000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-16-pro_3.png,72,1,TRUE,FALSE
136,iPhone 13 512GB | Ch�nh h�ng VN/A,25500000,https://cdn2.cellphones.com.vn/insecure/rs:fill:358:358/q:90/plain/https://cellphones.com.vn/media/catalog/product/i/p/iphone-13-02_4.jpg,45,1,TRUE,FALSE
